CustomerID,Age,Family size,Restaurant Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient_encoded,Self Cooking_encoded,Health Concern_encoded,Late Delivery_encoded,Poor Hygiene_encoded,Bad past experience_encoded,More Offers and Discount_encoded,Maximum wait time_encoded,Influence of rating_encoded,Gender_Male,Marital Status_Prefer not to say,Marital Status_Single,Occupation_House wife,Occupation_Self Employeed,Occupation_Student,Educational Qualifications_Ph.D,Educational Qualifications_Post Graduate,Educational Qualifications_School,Educational Qualifications_Uneducated,Frequently used Medium_Food delivery apps,Frequently used Medium_Walk-in,Frequently used Medium_Web browser,Frequently ordered Meal category_Dinner,Frequently ordered Meal category_Lunch,Frequently ordered Meal category_Snacks,Perference_Non Veg foods (Lunch / Dinner),Perference_Sweets,Perference_Veg foods (Breakfast / Lunch / Dinner)
CUS000001,20,4,1,1,150,45.0,1,3,3,3,3,3,3,3,1.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
CUS000002,24,3,1,1,32,61.0,3,5,5,5,4,5,5,5,1.0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
CUS000003,22,3,3,5,193,19.0,1,5,2,3,3,4,4,3,2.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000004,22,6,2,4,60,44.0,1,4,4,5,3,4,2,5,1.0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
CUS000005,22,4,3,1,234,24.0,3,4,4,5,5,4,5,4,1.0,3,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
CUS000006,27,2,2,4,55,39.0,3,4,2,3,4,4,4,4,2.0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000007,22,3,5,2,77,18.0,1,5,2,4,2,4,2,4,2.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000008,24,3,5,1,172,56.0,1,5,4,4,4,3,3,4,2.0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000009,23,2,3,3,224,20.0,1,4,4,4,3,4,3,4,1.0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000010,23,4,1,5,165,17.0,1,3,4,4,3,3,3,3,2.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000011,22,5,4,4,225,52.0,3,4,4,5,4,5,4,4,2.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000012,23,2,3,2,27,42.0,3,5,4,5,2,4,5,4,2.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000013,23,5,3,2,103,46.0,1,4,3,4,3,4,2,4,1.0,2,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
CUS000014,21,4,3,2,233,44.0,1,4,2,5,3,3,3,5,1.0,3,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
CUS000015,23,5,1,4,54,27.0,3,4,4,5,2,5,5,3,2.0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000016,24,6,5,3,210,51.0,3,5,5,5,2,2,2,3,1.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000017,28,2,3,1,30,40.0,3,3,2,3,2,3,3,3,3.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
CUS000018,23,3,2,5,163,17.0,3,4,3,3,3,5,3,2,2.0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000019,25,4,3,4,167,24.0,1,5,3,4,1,5,3,5,2.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000020,21,1,5,5,75,43.0,2,4,3,1,3,1,1,1,2.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
CUS000021,24,3,2,5,49,72.0,2,4,2,2,3,3,2,4,4.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000022,22,4,3,1,81,30.0,1,5,4,3,2,4,5,4,2.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000023,22,4,4,4,26,20.0,1,4,2,5,1,4,5,4,2.0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
CUS000024,23,4,4,3,71,13.0,1,4,3,4,4,4,4,2,1.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
