Customer ID,Cluster,Order Value (1–3),Churn Probability (%),Expected Loss Score (%),Expected Loss (Value 1–3)
CUS000001,0,-1.1741003609006415,75.5,0.0,-0.89
CUS000002,0,1.2468751766589456,100.0,100.0,1.25
CUS000003,0,-1.1741003609006415,6.7,0.0,-0.08
CUS000004,0,-1.1741003609006415,100.0,0.0,-1.17
CUS000005,0,1.2468751766589456,99.1,99.1,1.24
CUS000006,0,1.2468751766589456,66.7,66.7,0.83
CUS000007,1,-1.1741003609006415,36.6,0.0,-0.43
CUS000008,0,-1.1741003609006415,98.6,0.0,-1.16
CUS000009,0,-1.1741003609006415,91.7,0.0,-1.08
CUS000010,0,-1.1741003609006415,91.0,0.0,-1.07
CUS000011,0,1.2468751766589456,99.4,99.4,1.24
CUS000012,0,1.2468751766589456,99.5,99.5,1.24
CUS000013,0,-1.1741003609006415,98.9,0.0,-1.16
CUS000014,0,-1.1741003609006415,96.0,0.0,-1.13
CUS000015,0,1.2468751766589456,98.9,98.9,1.23
CUS000016,2,1.2468751766589456,45.8,45.8,0.57
CUS000017,1,1.2468751766589456,44.6,44.6,0.56
CUS000018,0,1.2468751766589456,4.2,4.2,0.05
CUS000019,0,-1.1741003609006415,97.3,0.0,-1.14
CUS000020,1,0.036387407879152,0.0,0.0,0.0
CUS000021,1,0.036387407879152,66.0,33.0,0.02
CUS000022,0,-1.1741003609006415,99.2,0.0,-1.17
CUS000023,0,-1.1741003609006415,93.9,0.0,-1.1
CUS000024,0,-1.1741003609006415,58.3,0.0,-0.68
CUS000025,0,-1.1741003609006415,100.0,0.0,-1.17
CUS000026,0,0.036387407879152,25.0,12.5,0.01
CUS000027,2,1.2468751766589456,14.9,14.9,0.19
CUS000028,0,0.036387407879152,54.3,27.2,0.02
CUS000029,1,1.2468751766589456,28.2,28.2,0.35
CUS000030,0,1.2468751766589456,66.2,66.2,0.83
CUS000031,0,-1.1741003609006415,95.1,0.0,-1.12
CUS000032,0,0.036387407879152,72.9,36.5,0.03
CUS000033,0,-1.1741003609006415,92.2,0.0,-1.08
CUS000034,0,-1.1741003609006415,100.0,0.0,-1.17
CUS000035,0,-1.1741003609006415,21.0,0.0,-0.25
CUS000036,1,0.036387407879152,0.1,0.0,0.0
CUS000037,0,-1.1741003609006415,99.6,0.0,-1.17
CUS000038,0,-1.1741003609006415,95.3,0.0,-1.12
CUS000039,0,1.2468751766589456,99.2,99.2,1.24
CUS000040,2,1.2468751766589456,67.3,67.3,0.84
CUS000041,2,1.2468751766589456,99.6,99.6,1.24
CUS000042,0,-1.1741003609006415,99.3,0.0,-1.17
CUS000043,2,1.2468751766589456,98.7,98.7,1.23
CUS000044,0,-1.1741003609006415,96.7,0.0,-1.14
CUS000045,1,-1.1741003609006415,92.9,0.0,-1.09
CUS000046,0,1.2468751766589456,99.7,99.7,1.24
CUS000047,0,0.036387407879152,95.4,47.7,0.03
CUS000048,0,0.036387407879152,0.4,0.2,0.0
CUS000049,0,0.036387407879152,96.0,48.0,0.03
CUS000050,0,0.036387407879152,7.5,3.8,0.0
CUS000051,0,0.036387407879152,91.1,45.6,0.03
CUS000052,1,1.2468751766589456,0.0,0.0,0.0
CUS000053,1,-1.1741003609006415,71.3,0.0,-0.84
CUS000054,0,0.036387407879152,99.9,49.9,0.04
CUS000055,0,1.2468751766589456,99.9,99.9,1.25
CUS000056,0,-1.1741003609006415,100.0,0.0,-1.17
CUS000057,2,0.036387407879152,79.7,39.8,0.03
CUS000058,1,-1.1741003609006415,92.9,0.0,-1.09
CUS000059,0,-1.1741003609006415,99.9,0.0,-1.17
CUS000060,0,1.2468751766589456,73.9,73.9,0.92
CUS000061,1,1.2468751766589456,0.0,0.0,0.0
CUS000062,0,0.036387407879152,84.6,42.3,0.03
CUS000063,0,1.2468751766589456,99.6,99.6,1.24
CUS000064,0,0.036387407879152,99.3,49.7,0.04
CUS000065,1,-1.1741003609006415,0.2,0.0,-0.0
CUS000066,0,1.2468751766589456,31.4,31.4,0.39
CUS000067,0,0.036387407879152,99.8,49.9,0.04
CUS000068,0,0.036387407879152,25.4,12.7,0.01
CUS000069,2,1.2468751766589456,98.0,98.0,1.22
CUS000070,2,0.036387407879152,72.7,36.3,0.03
CUS000071,0,-1.1741003609006415,95.6,0.0,-1.12
CUS000072,1,1.2468751766589456,1.3,1.3,0.02
CUS000073,0,0.036387407879152,95.8,47.9,0.03
CUS000074,0,1.2468751766589456,99.8,99.8,1.24
CUS000075,1,0.036387407879152,87.0,43.5,0.03
CUS000076,0,0.036387407879152,98.9,49.5,0.04
CUS000077,0,1.2468751766589456,89.3,89.3,1.11
CUS000078,2,1.2468751766589456,0.4,0.4,0.01
CUS000079,1,1.2468751766589456,0.0,0.0,0.0
CUS000080,0,-1.1741003609006415,98.7,0.0,-1.16
CUS000081,0,-1.1741003609006415,59.1,0.0,-0.69
CUS000082,1,0.036387407879152,52.0,26.0,0.02
CUS000083,2,1.2468751766589456,92.5,92.5,1.15
CUS000084,1,-1.1741003609006415,0.2,0.0,-0.0
CUS000085,0,-1.1741003609006415,82.1,0.0,-0.96
CUS000086,0,0.036387407879152,99.2,49.6,0.04
CUS000087,0,-1.1741003609006415,99.8,0.0,-1.17
CUS000088,0,1.2468751766589456,99.7,99.7,1.24
CUS000089,0,1.2468751766589456,94.2,94.2,1.17
CUS000090,1,0.036387407879152,82.9,41.4,0.03
CUS000091,2,-1.1741003609006415,98.1,0.0,-1.15
CUS000092,0,1.2468751766589456,94.8,94.8,1.18
CUS000093,0,-1.1741003609006415,97.2,0.0,-1.14
CUS000094,0,0.036387407879152,65.8,32.9,0.02
CUS000095,1,1.2468751766589456,3.0,3.0,0.04
CUS000096,0,-1.1741003609006415,65.7,0.0,-0.77
CUS000097,0,0.036387407879152,46.2,23.1,0.02
CUS000098,0,1.2468751766589456,98.8,98.8,1.23
CUS000099,0,0.036387407879152,99.4,49.7,0.04
CUS000100,0,-1.1741003609006415,97.0,0.0,-1.14
CUS000101,0,-1.1741003609006415,73.5,0.0,-0.86
CUS000102,0,-1.1741003609006415,74.1,0.0,-0.87
CUS000103,1,-1.1741003609006415,81.5,0.0,-0.96
CUS000104,0,-1.1741003609006415,97.9,0.0,-1.15
CUS000105,2,-1.1741003609006415,99.8,0.0,-1.17
CUS000106,0,-1.1741003609006415,99.0,0.0,-1.16
CUS000107,2,0.036387407879152,87.1,43.6,0.03
CUS000108,1,0.036387407879152,3.0,1.5,0.0
CUS000109,2,1.2468751766589456,86.1,86.1,1.07
CUS000110,1,0.036387407879152,12.4,6.2,0.0
CUS000111,1,1.2468751766589456,0.3,0.3,0.0
CUS000112,2,1.2468751766589456,99.7,99.7,1.24
CUS000113,0,0.036387407879152,97.3,48.7,0.04
CUS000114,1,0.036387407879152,2.1,1.0,0.0
CUS000115,0,1.2468751766589456,69.7,69.7,0.87
CUS000116,1,-1.1741003609006415,24.9,0.0,-0.29
CUS000117,1,-1.1741003609006415,45.1,0.0,-0.53
CUS000118,0,0.036387407879152,86.3,43.2,0.03
CUS000119,0,-1.1741003609006415,100.0,0.0,-1.17
CUS000120,1,0.036387407879152,0.2,0.1,0.0
CUS000121,0,0.036387407879152,84.6,42.3,0.03
CUS000122,0,-1.1741003609006415,88.0,0.0,-1.03
CUS000123,1,1.2468751766589456,0.1,0.1,0.0
CUS000124,2,1.2468751766589456,98.9,98.9,1.23
CUS000125,1,1.2468751766589456,47.8,47.8,0.6
CUS000126,0,0.036387407879152,97.1,48.5,0.04
CUS000127,0,1.2468751766589456,97.6,97.6,1.22
CUS000128,0,-1.1741003609006415,98.7,0.0,-1.16
CUS000129,0,0.036387407879152,99.9,49.9,0.04
CUS000130,1,0.036387407879152,98.1,49.1,0.04
CUS000131,0,1.2468751766589456,92.8,92.8,1.16
CUS000132,1,1.2468751766589456,27.4,27.4,0.34
CUS000133,2,1.2468751766589456,82.7,82.7,1.03
CUS000134,0,-1.1741003609006415,99.7,0.0,-1.17
CUS000135,2,1.2468751766589456,96.4,96.4,1.2
CUS000136,1,1.2468751766589456,9.2,9.2,0.11
CUS000137,1,1.2468751766589456,43.2,43.2,0.54
CUS000138,1,1.2468751766589456,0.8,0.8,0.01
CUS000139,0,-1.1741003609006415,94.0,0.0,-1.1
CUS000140,1,0.036387407879152,6.6,3.3,0.0
CUS000141,2,0.036387407879152,97.8,48.9,0.04
CUS000142,0,1.2468751766589456,88.5,88.5,1.1
CUS000143,1,0.036387407879152,58.8,29.4,0.02
CUS000144,1,0.036387407879152,4.7,2.4,0.0
CUS000145,0,1.2468751766589456,93.1,93.1,1.16
CUS000146,0,0.036387407879152,99.2,49.6,0.04
CUS000147,1,1.2468751766589456,7.4,7.4,0.09
CUS000148,2,-1.1741003609006415,86.1,0.0,-1.01
CUS000149,2,1.2468751766589456,82.7,82.7,1.03
