Customer ID,Cluster,Order Value (1–3),Churn Probability (%),Expected Loss Score (%),Expected Loss (%)
CUS000016,2,3,45.8,28.9,45.8
CUS000027,2,3,14.9,17.4,14.9
CUS000040,2,3,67.3,80.3,67.3
CUS000041,2,3,99.6,98.2,99.6
CUS000043,2,3,98.7,96.9,98.7
CUS000057,2,2,79.7,38.8,53.1
CUS000069,2,3,98.0,97.3,98.0
CUS000070,2,2,72.7,30.1,48.5
CUS000078,2,3,0.4,13.2,0.4
CUS000083,2,3,92.5,76.8,92.5
CUS000091,2,1,98.1,0.0,32.7
CUS000105,2,1,99.8,0.0,33.3
CUS000107,2,2,87.1,44.4,58.1
CUS000109,2,3,86.1,85.7,86.1
CUS000112,2,3,99.7,99.3,99.7
CUS000124,2,3,98.9,97.7,98.9
CUS000133,2,3,82.7,83.5,82.7
CUS000135,2,3,96.4,93.7,96.4
CUS000141,2,2,97.8,48.5,65.2
CUS000148,2,1,86.1,0.0,28.7
CUS000149,2,3,82.7,83.6,82.7
CUS000168,2,2,100.0,48.4,66.6
CUS000181,2,2,12.5,5.8,8.3
CUS000182,2,3,97.8,95.6,97.8
CUS000190,2,2,55.8,31.9,37.2
CUS000193,2,1,29.1,0.0,9.7
CUS000198,2,3,29.2,27.8,29.2
CUS000202,2,1,97.7,0.0,32.6
CUS000207,2,2,12.1,12.1,8.0
CUS000210,2,3,34.9,36.8,34.9
CUS000213,2,3,7.6,7.6,7.6
CUS000219,2,3,58.9,64.2,58.9
CUS000224,2,2,64.2,34.9,42.8
CUS000232,2,2,26.2,22.7,17.4
CUS000238,2,3,94.7,66.1,94.7
CUS000239,2,3,90.2,85.4,90.2
CUS000241,2,1,98.8,0.0,32.9
CUS000243,2,3,17.8,32.0,17.8
CUS000244,2,3,4.1,3.5,4.1
CUS000259,2,3,27.8,42.9,27.8
CUS000261,2,3,22.3,26.3,22.3
CUS000267,2,3,0.9,23.4,0.9
CUS000270,2,3,12.9,22.0,12.9
CUS000273,2,2,51.1,28.0,34.1
CUS000276,2,3,85.3,80.4,85.3
CUS000282,2,2,58.8,32.2,39.2
CUS000286,2,3,66.9,48.8,66.9
CUS000289,2,2,45.7,24.5,30.4
CUS000292,2,3,95.4,90.5,95.4
CUS000295,2,3,0.4,2.1,0.4
CUS000298,2,2,50.6,28.9,33.7
CUS000299,2,1,49.2,0.0,16.4
CUS000302,2,3,93.0,87.7,93.0
CUS000305,2,3,96.3,82.2,96.3
CUS000306,2,2,98.7,47.5,65.8
CUS000308,2,2,33.3,12.4,22.2
CUS000309,2,3,0.1,7.6,0.1
CUS000317,2,2,20.7,24.7,13.8
CUS000318,2,3,98.1,86.4,98.1
CUS000321,2,2,99.3,40.6,66.2
CUS000324,2,2,34.8,16.9,23.2
CUS000327,2,3,54.5,53.6,54.5
CUS000328,2,3,0.5,2.8,0.5
CUS000335,2,3,98.6,97.2,98.6
CUS000337,2,2,99.7,49.5,66.4
CUS000342,2,2,25.4,14.4,16.9
CUS000345,2,3,95.0,91.9,95.0
CUS000349,2,3,56.8,66.3,56.8
CUS000351,2,2,1.6,1.1,1.0
CUS000352,2,2,97.6,48.9,65.1
CUS000353,2,3,2.8,26.9,2.8
CUS000356,2,3,99.0,95.3,99.0
CUS000357,2,1,66.4,0.0,22.1
CUS000361,2,1,98.0,0.0,32.7
CUS000368,2,3,59.0,55.7,59.0
CUS000370,2,1,47.6,0.0,15.9
CUS000375,2,2,40.2,22.0,26.8
CUS000377,2,2,100.0,49.7,66.6
CUS000381,2,2,68.5,30.4,45.7
CUS000382,2,3,91.8,82.0,91.8
CUS000384,2,3,99.7,99.0,99.7
CUS000387,2,2,99.9,49.9,66.6
CUS000388,2,3,99.8,99.2,99.8
CUS000389,2,2,6.7,9.4,4.4
CUS000391,2,3,99.0,96.7,99.0
CUS000392,2,1,100.0,0.0,33.3
CUS000393,2,3,81.3,71.3,81.3
CUS000394,2,3,97.6,97.9,97.6
CUS000395,2,3,99.9,99.4,99.9
CUS000396,2,3,98.3,79.2,98.3
CUS000398,2,3,7.6,32.4,7.6
CUS000400,2,3,0.1,0.8,0.1
CUS000408,2,3,0.6,6.1,0.6
CUS000413,2,1,13.3,0.0,4.4
CUS000415,2,2,50.2,26.5,33.5
CUS000416,2,3,98.8,88.9,98.8
CUS000417,2,3,93.5,83.9,93.5
CUS000418,2,3,76.1,75.6,76.1
