Customer ID,Cluster,Order Value (1–3),Churn Probability (%),Expected Loss Score (%),Expected Loss (Value 1–3)
CUS000002,0,3,100.0,100.0,3.0
CUS000466,2,3,99.9,99.9,3.0
CUS000436,0,3,99.9,99.9,3.0
CUS000055,0,3,99.9,99.9,3.0
CUS000171,0,3,99.9,99.9,3.0
CUS000395,2,3,99.9,99.9,3.0
CUS000074,0,3,99.8,99.8,2.99
CUS000388,2,3,99.8,99.8,2.99
CUS000186,0,3,99.8,99.8,2.99
CUS000088,0,3,99.7,99.7,2.99
CUS000112,2,3,99.7,99.7,2.99
CUS000046,0,3,99.7,99.7,2.99
CUS000384,2,3,99.7,99.7,2.99
CUS000041,2,3,99.6,99.6,2.99
CUS000063,0,3,99.6,99.6,2.99
CUS000012,0,3,99.5,99.5,2.99
CUS000446,2,3,99.5,99.5,2.99
CUS000011,0,3,99.4,99.4,2.98
CUS000495,2,3,99.4,99.4,2.98
CUS000039,0,3,99.2,99.2,2.98
CUS000005,0,3,99.1,99.1,2.97
CUS000406,0,3,99.1,99.1,2.97
CUS000391,2,3,99.0,99.0,2.97
CUS000356,2,3,99.0,99.0,2.97
CUS000015,0,3,98.9,98.9,2.97
CUS000124,2,3,98.9,98.9,2.97
CUS000098,0,3,98.8,98.8,2.96
CUS000416,2,3,98.8,98.8,2.96
CUS000043,2,3,98.7,98.7,2.96
CUS000335,2,3,98.6,98.6,2.96
CUS000396,2,3,98.3,98.3,2.95
CUS000215,0,3,98.2,98.2,2.95
CUS000318,2,3,98.1,98.1,2.94
CUS000069,2,3,98.0,98.0,2.94
CUS000182,2,3,97.8,97.8,2.93
CUS000394,2,3,97.6,97.6,2.93
CUS000127,0,3,97.6,97.6,2.93
CUS000430,2,3,96.8,96.8,2.9
CUS000315,1,3,96.7,96.7,2.9
CUS000457,0,3,96.6,96.6,2.9
CUS000135,2,3,96.4,96.4,2.89
CUS000305,2,3,96.3,96.3,2.89
CUS000470,1,3,95.5,95.5,2.87
CUS000292,2,3,95.4,95.4,2.86
CUS000345,2,3,95.0,95.0,2.85
CUS000092,0,3,94.8,94.8,2.84
CUS000238,2,3,94.7,94.7,2.84
CUS000089,0,3,94.2,94.2,2.83
CUS000417,2,3,93.5,93.5,2.81
CUS000145,0,3,93.1,93.1,2.79
